"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AY1","AY2","GA1","GA2","GA3","GA4","GE1","GF1","KA1","MA1","MD1","MW1","OD1","REM","EQD"
"63680099999","2017-01-05T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","010000,1,9,9","+0295,1","+0160,1","99999,9",,,,"00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,M,+0320,1",,,,,"SYN07463680 32860 01402 10295 20160 3//// 48/// 80000 333 10320 5//// 555 10205=",
"63680099999","2017-01-06T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","060,1,N,0021,1","99999,9,9,N","009000,1,9,9","+0295,1","+0130,1","99999,9",,,,"00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9",,,,,,"SYN05863680 32859 00604 10295 20130 3//// 48/// 80000 333 5////=",
"63680099999","2017-01-06T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","010000,1,9,9","+0325,1","+0138,1","99999,9",,,,"01,1,+00810,1,08,1",,,,"9,AGL   ,+99999,+99999","01,99,1,01,1,99,9,00810,1,99,9,99,9",,,,,,"SYN07463680 32860 10000 10325 20138 3//// 48/// 81800 333 5//// 81827 555 10200=",
"63680099999","2017-01-06T15:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","140,1,N,0021,1","99999,9,9,N","010000,1,9,9","+0294,1","+0144,1","99999,9",,,,"00,1,+99999,9,99,9",,,,"9,AGL   ,+99999,+99999","00,99,5,00,1,99,9,99999,9,99,9,99,9","240,M,+0334,1",,,,,"SYN07463680 32860 01404 10294 20144 3//// 48/// 80000 333 10334 5//// 555 10194=",
"63680099999","2017-01-07T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,9,N","004000,1,9,9","+0210,1","+0135,1","99999,9",,,,"03,1,+03600,1,03,1",,,,"9,AGL   ,+99999,+99999","03,99,1,03,1,99,9,03600,1,99,9,99,9","240,N,+0190,1",,,,,"SYN07463680 32540 30000 10210 20135 48/// 80040 333 20190 55100 83362 555 10160=",
"63680099999","2017-01-07T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","140,1,N,0010,1","99999,9,9,N","009000,1,9,9","+0290,1","+0155,1","99999,9",,,,"04,1,+00800,1,09,1","99,9,+99999,9,03,1","99,9,+99999,9,02,1",,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00800,1,99,9,99,9",,,,,,"SYN05863680 32559 41402 10290 20155 3//// 48/// 84366 555 10200=",
"63680099999","2017-01-07T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","180,1,N,0021,1","99999,9,C,N","010000,1,9,9","+0295,1","+0160,1","99999,9",,,,"04,1,+00780,1,08,1","01,1,+00840,1,09,1",,,"9,AGL   ,+99999,+99999","04,99,1,04,1,99,9,00780,1,99,9,99,9",,,,,,"SYN07463680 32560 41804 10295 20160 3//// 48/// 84900 333 84826 81928 555 10205=","Q01 008403SCOCIG"
"63680099999","2017-01-08T06:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","180,1,N,0026,1","99999,9,C,N","003000,1,9,9","+0214,1","+0163,1","99999,9",,"4,1,02,1","4,1,02,1","02,1,+00600,1,06,1","04,1,+03300,1,03,1",,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00600,1,99,9,99,9","240,N,+0188,1",,,"05,1",,"SYN09263680 31530 41805 10214 20163 3//// 48/// 70544 333 20188 55097 5//// 82620 84361 555 10180=","Q01 033003SCOCIG"
"63680099999","2017-01-08T09:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","320,1,N,0015,1","99999,9,C,N","006000,1,9,9","+0274,1","+0148,1","99999,9",,,,"02,1,+00690,1,08,1","04,1,+04200,1,03,1",,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00690,1,99,9,99,9",,,,,,"SYN08063680 32556 43203 10274 20148 3//// 48/// 82840 333 5//// 82823 84364 555 10190=","Q01 042003SCOCIG"
"63680099999","2017-01-08T12:00:00","4","0.3166666","32.6166666","1140.0","KAMPALA, UG","FM-12","99999","V020","999,9,C,0000,1","99999,9,C,N","009000,1,9,9","+0314,1","+0136,1","99999,9",,,,"02,1,+00810,1,08,1","04,1,+04800,1,03,1",,,"9,AGL   ,+99999,+99999","04,99,1,02,1,99,9,00810,1,99,9,99,9",,,,,,"SYN08063680 32559 40000 10314 20136 3//// 48/// 82840 333 5//// 82827 84366 555 10195=","Q01 048003SCOCIG"
